1 - Delphine - 136 - 47600
2 - Marlane - 151 - 52850
3 - Sayre - 191 - 66850
4 - Valli - 171 - 59850
5 - Laurena - 212 - 74200
6 - Hamil - 128 - 44800
7 - Ettie - 164 - 57400
8 - Andreas - 132 - 46200
9 - Dita - 80 - 28000
10 - Euell - 99 - 34650
11 - Karina - 185 - 64750
12 - Carey - 209 - 73150
13 - Haze - 88 - 30800
14 - Averil - 99 - 34650
15 - Giuditta - 121 - 42350
16 - Hans - 240 - 84000
17 - Raffaello - 84 - 29400
18 - Franky - 133 - 46550
19 - Leicester - 167 - 58450
20 - Samantha - 226 - 79100
21 - Elora - 144 - 50400
22 - Binny - 84 - 29400
23 - Trudy - 198 - 69300
24 - Shae - 104 - 36400
25 - Bordy - 96 - 33600
26 - Mechelle - 120 - 42000
27 - Lucita - 210 - 73500
28 - Michele - 88 - 30800
29 - Aubry - 157 - 54950
30 - Ginnifer - 105 - 36750
31 - Pace - 132 - 46200
32 - Coral - 81 - 28350
33 - Cozmo - 167 - 58450
34 - Archibaldo - 123 - 43050
35 - Eddy - 136 - 47600
36 - Helen-elizabeth - 103 - 36050
37 - Hilario - 195 - 68250
38 - Helge - 176 - 61600
39 - Gardener - 222 - 77700
40 - Gustavus - 142 - 49700
41 - Anderea - 80 - 28000
42 - Demetria - 108 - 37800
43 - Corabella - 200 - 70000
44 - Agathe - 207 - 72450
45 - Egor - 83 - 29050
46 - Murvyn - 194 - 67900
47 - Morten - 95 - 33250
48 - Marlena - 233 - 81550
49 - Franzen - 83 - 29050
50 - L;urette - 195 - 68250
51 - Law - 209 - 73150
52 - Stevie - 238 - 83300
53 - Taylor - 239 - 83650
54 - Olin - 138 - 48300
55 - Blondy - 195 - 68250
56 - Judas - 120 - 42000
57 - Aggy - 116 - 40600
58 - Brendin - 176 - 61600
59 - Joceline - 142 - 49700
60 - Cymbre - 221 - 77350
61 - Barbabra - 229 - 80150
62 - Rowan - 110 - 38500
63 - Hedda - 198 - 69300
64 - Nev - 226 - 79100
65 - Sam - 233 - 81550
66 - Morganne - 194 - 67900
67 - Deidre - 95 - 33250
68 - Laureen - 143 - 50050
69 - Crissy - 195 - 68250
70 - Wilone - 102 - 35700
71 - Milzie - 92 - 32200
72 - Dorisa - 100 - 35000
73 - Judie - 152 - 53200
74 - Lucas - 182 - 63700
75 - Kellen - 206 - 72100
